date,equity
2024-05-06 09:30:00-04:00,108783.23171121997
2024-05-07 09:30:00-04:00,107954.38755648027
2024-05-08 09:30:00-04:00,108503.20828688587
2024-05-09 09:30:00-04:00,108412.04236046001
2024-05-10 09:30:00-04:00,108091.37616743852
2024-05-13 09:30:00-04:00,108367.41707267493
2024-05-14 09:30:00-04:00,109129.51933973862
2024-05-15 09:30:00-04:00,109817.97862097368
2024-05-16 09:30:00-04:00,109578.33547664343
2024-05-17 09:30:00-04:00,109595.45546577996
2024-05-20 09:30:00-04:00,110065.78693216236
2024-05-21 09:30:00-04:00,110636.10387362438
2024-05-22 09:30:00-04:00,110383.03936140961
2024-05-23 09:30:00-04:00,109367.65293113334
2024-05-24 09:30:00-04:00,109920.70487482258
2024-05-28 09:30:00-04:00,110499.15986259619
2024-05-29 09:30:00-04:00,110746.03579111732
2024-05-30 09:30:00-04:00,109976.43328809169
2024-05-31 09:30:00-04:00,109717.24572580055
2024-06-03 09:30:00-04:00,109805.9463604404
2024-06-04 09:30:00-04:00,110196.70201963044
2024-06-05 09:30:00-04:00,111369.2521520255
2024-06-06 09:30:00-04:00,111428.89066301737
2024-06-07 09:30:00-04:00,111259.79432714323
2024-06-10 09:30:00-04:00,111695.18347548343
2024-06-11 09:30:00-04:00,112736.74343585338
2024-06-12 09:30:00-04:00,112979.33113337442
2024-06-13 09:30:00-04:00,112639.53045596783
2024-06-14 09:30:00-04:00,113317.1037710935
2024-06-17 09:30:00-04:00,114165.68688826327
2024-06-18 09:30:00-04:00,114235.9394361337
2024-06-20 09:30:00-04:00,113198.034599687
2024-06-21 09:30:00-04:00,112871.2270009837
2024-06-24 09:30:00-04:00,112074.68084931347
2024-06-25 09:30:00-04:00,112950.89027266033
2024-06-26 09:30:00-04:00,113613.43813455466
2024-06-27 09:30:00-04:00,114114.34012870266
2024-06-28 09:30:00-04:00,113169.9105467556
2024-07-01 09:30:00-04:00,113860.16357056916
2024-07-02 09:30:00-04:00,114997.24966205555
2024-07-03 09:30:00-04:00,115762.34790438623
2024-07-05 09:30:00-04:00,117140.94617435982
2024-07-08 09:30:00-04:00,117185.50707617994
2024-07-09 09:30:00-04:00,116875.36399828586
2024-07-10 09:30:00-04:00,117580.49719512637
2024-07-11 09:30:00-04:00,115369.11742176008
2024-07-12 09:30:00-04:00,115801.77674790131
2024-07-15 09:30:00-04:00,115609.81662345736
2024-07-16 09:30:00-04:00,114808.00456352462
2024-07-17 09:30:00-04:00,113812.83157285523
2024-07-18 09:30:00-04:00,112684.73630473058
2024-07-19 09:30:00-04:00,112153.02397896636
2024-07-22 09:30:00-04:00,112292.67020636264
2024-07-23 09:30:00-04:00,112425.83996480795
2024-07-24 09:30:00-04:00,110627.49825120161
2024-07-25 09:30:00-04:00,109940.12632955382
2024-07-26 09:30:00-04:00,109883.23689538764
2024-07-29 09:30:00-04:00,109413.57311067873
2024-07-30 09:30:00-04:00,108192.60641664904
2024-07-31 09:30:00-04:00,108658.89244006317
2024-08-01 09:30:00-04:00,106772.99983714818
2024-08-02 09:30:00-04:00,106679.1564762957
2024-08-05 09:30:00-04:00,109633.68254606776
2024-08-06 09:30:00-04:00,110857.24490525966
2024-08-07 09:30:00-04:00,109254.24362842861
2024-08-08 09:30:00-04:00,110882.90209894767
2024-08-09 09:30:00-04:00,111819.70699190022
2024-08-12 09:30:00-04:00,112094.00253499794
2024-08-13 09:30:00-04:00,113117.10255313915
2024-08-14 09:30:00-04:00,112999.83664420192
2024-08-15 09:30:00-04:00,113568.92513780185
2024-08-16 09:30:00-04:00,113935.44195409011
2024-08-19 09:30:00-04:00,114707.6303240243
2024-08-20 09:30:00-04:00,114731.56177957151
2024-08-21 09:30:00-04:00,115104.80904879101
2024-08-22 09:30:00-04:00,113509.14295022152
2024-08-23 09:30:00-04:00,113584.84266513365
2024-08-26 09:30:00-04:00,113153.4616838975
2024-08-27 09:30:00-04:00,113584.55492978648
2024-08-28 09:30:00-04:00,112752.55708104937
2024-08-29 09:30:00-04:00,112304.93995540064
2024-08-30 09:30:00-04:00,112767.19025710053
2024-09-03 09:30:00-04:00,110750.01979759533
2024-09-04 09:30:00-04:00,111095.8497351217
2024-09-05 09:30:00-04:00,111581.018246849
2024-09-06 09:30:00-04:00,109529.09957861932
2024-09-09 09:30:00-04:00,110339.23784864553
2024-09-10 09:30:00-04:00,110439.16441895574
2024-09-11 09:30:00-04:00,111660.89965756563
2024-09-12 09:30:00-04:00,112283.29811815055
2024-09-13 09:30:00-04:00,112718.71649321986
2024-09-16 09:30:00-04:00,113016.34620332948
2024-09-17 09:30:00-04:00,112823.40642063713
2024-09-18 09:30:00-04:00,112792.151444254
2024-09-19 09:30:00-04:00,113544.98530747072
2024-09-20 09:30:00-04:00,113519.19265554089
2024-09-23 09:30:00-04:00,113701.07546772723
2024-09-24 09:30:00-04:00,114039.0100935814
