date,equity,cash,positions,exposure
2024-07-31,122901.29844121858,96436.9528837177,4,26464.345557500874
2024-08-01,120567.97986168944,99166.31183054426,4,21401.66803114518
2024-08-02,119528.15146048443,107874.95825794167,2,11653.193202542756
2024-08-05,118647.28492535031,113395.02480835991,1,5252.260116990392
2024-08-06,118708.76617321317,112776.14585920166,2,5932.620314011503
2024-08-07,118472.61320613313,106852.36717843822,3,11620.246027694915
2024-08-08,119393.57905593647,106852.36717843822,3,12541.211877498257
2024-08-09,119468.88982218257,103865.60761704705,3,15603.282205135516
2024-08-12,119778.97228432138,97876.50935020063,4,21902.462934120747
2024-08-13,121567.07043296105,97876.50935020063,4,23690.56108276041
2024-08-14,121075.28666873708,97766.64449941972,4,23308.642169317365
2024-08-15,123198.42133268467,94686.6454853553,5,28511.77584732937
2024-08-16,123690.97214776243,88501.94233765865,7,35189.02981010378
2024-08-19,124657.19427311179,97420.45420364165,6,27236.74006947014
2024-08-20,124562.17260056453,91192.18994482135,7,33369.98265574318
2024-08-21,124984.61238492487,84942.80316898401,7,40041.80921594086
2024-08-22,122824.67875356908,90979.37016066979,5,31845.308592899288
2024-08-23,124265.74237865604,84765.92778330678,5,39499.814595349264
2024-08-26,122877.84539794998,87688.35631181173,5,35189.489086138245
2024-08-27,122408.89297823948,90690.96748450257,5,31717.92549373692
2024-08-28,121405.57038973429,93801.97140778905,5,27603.598981945237
2024-08-29,121084.54464242572,96791.4111984154,4,24293.133444010327
2024-08-30,122463.72125390281,90668.072128747,6,31795.649125155822
2024-09-03,120336.93845132698,89376.51726061119,6,30960.42119071578
2024-09-04,120711.40366916027,89131.75743653685,5,31579.646232623418
2024-09-05,122442.35543331318,98078.40040986057,3,24363.955023452618
2024-09-06,119493.21720246597,103781.02284430497,3,15712.194358160994
2024-09-09,120129.66766766475,97774.38937013029,4,22355.278297534463
2024-09-10,121262.08663152183,91711.1335329111,5,29550.95309861073
2024-09-11,122493.98200914235,91711.1335329111,5,30782.848476231236
2024-09-12,123462.2349856424,91711.1335329111,5,31751.1014527313
2024-09-13,123855.10316682087,85518.22362919516,7,38336.87953762572
2024-09-16,123308.47898900157,79352.645617326,7,43955.833371675566
2024-09-17,123731.67859730049,73165.90709629352,7,50565.77150100696
2024-09-18,123510.25274089756,66990.24014473212,7,56520.012596165434
2024-09-19,127543.08453863175,63801.62319347333,7,63741.46134515842
2024-09-20,126816.87873416262,60631.161614155004,7,66185.71712000761
2024-09-23,127734.46569635229,70866.00327680138,6,56868.46241955091
2024-09-24,128065.76649153908,64462.554946019256,6,63603.21154551982
2024-09-25,128530.10900122175,64462.554946019256,6,64067.55405520248
2024-09-26,128672.94178175282,61245.69121077409,7,67427.25057097872
2024-09-27,127897.48786287033,67364.69097321849,7,60532.79688965184
2024-09-30,128898.08381276505,64142.198616875416,7,64755.88519588963
2024-10-01,127022.16016268628,69793.2584774816,7,57228.90168520468
2024-10-02,126567.48514600974,78900.90942786768,5,47666.57571814207
2024-10-03,127477.1296071049,72526.89367675403,7,54950.235930350864
2024-10-04,128945.13068388414,72321.09174111322,7,56624.03894277091
2024-10-07,127368.69618925525,78162.76262398608,7,49205.93356526917
2024-10-08,129316.75064751002,78162.76262398608,7,51153.98802352393
2024-10-09,128807.1724240587,81297.50542675624,7,47509.66699730247
2024-10-10,128992.35934155679,78060.4076692208,6,50931.951672335985
2024-10-11,128323.44442777542,71644.07511968237,6,56679.369308093046
2024-10-14,128836.62287271928,87503.81099940912,4,41332.811873310166
2024-10-15,128437.58681563986,90476.8880304562,5,37960.69878518367
2024-10-16,128115.20399859868,84070.96776255357,6,44044.236236045115
2024-10-17,127610.73806812559,77690.27142145761,6,49920.46664666798
2024-10-18,129892.43857140493,71195.48720442617,7,58696.951366978756
2024-10-21,131117.31691975764,74320.270527669,6,56797.046392088625
2024-10-22,131260.5103914113,74320.270527669,6,56940.23986374233
2024-10-23,128545.71636082143,80502.88807851948,6,48042.828282301954
2024-10-24,130410.54884146231,77242.58362404395,7,53167.96521741836
2024-10-25,131347.5908006059,82060.75814955904,6,49286.83265104686
2024-10-28,131409.67943683726,75490.10999360534,7,55919.56944323194
2024-10-29,132911.77177400357,72167.27418456497,7,60744.4975894386
2024-10-30,133047.60581248195,65514.72766339311,8,67532.87814908885
2024-10-31,128868.2495814379,86552.43189261205,6,42315.81768882587
2024-11-01,128875.72869825587,80108.484439522,7,48767.24425873388
2024-11-04,127989.04391695617,76794.0154061268,6,51195.02851082938
2024-11-05,129784.4622933169,76794.0154061268,6,52990.44688719011
2024-11-06,134925.09648854512,73420.8458503655,7,61504.25063817964
2024-11-07,137988.4524517982,73420.8458503655,7,64567.606601432686
2024-11-08,138118.5611470989,80972.8623372779,6,57145.698809821
2024-11-11,137953.85563431538,74074.99719511378,7,63878.858439201584
2024-11-12,139304.61594519968,67109.59234975673,8,72195.02359544297
2024-11-13,139495.77068102706,63622.15451154367,8,75873.61616948339
2024-11-14,138268.79978712625,56708.54176824574,8,81560.25801888052
2024-11-15,134779.49470810872,86171.07565265374,6,48608.41905545497
2024-11-18,135769.7984977099,79382.41609609518,7,56387.38240161473
2024-11-19,138159.10764539574,93781.70516534286,6,44377.402480052864
2024-11-20,137562.21725629104,86903.42243139553,7,50658.79482489551
2024-11-21,136061.8476159508,93386.37641402488,6,42675.47120192591
2024-11-22,135037.51988224458,86634.33170315326,6,48403.1881790913
2024-11-25,135261.22473251406,89221.50333352556,7,46039.72139898849
2024-11-26,136536.92022093487,82394.48673235884,7,54142.43348857604
2024-11-27,135739.74761577699,75607.32975744267,7,60132.41785833432
2024-11-29,137196.5498658334,75607.32975744267,7,61589.220108390735
2024-12-02,139515.66551685528,72119.3945421198,7,67396.27097473548
2024-12-03,140554.47940209066,72119.3945421198,7,68435.08485997086
2024-12-04,142663.76865196778,68552.75576511625,7,74111.01288685153
2024-12-05,143306.1817119883,68552.75576511625,7,74753.42594687206
2024-12-06,145499.06746088818,68552.75576511625,7,76946.31169577192
2024-12-09,145069.76819573363,61299.08610421361,8,83770.68209152002
2024-12-10,146652.96205831546,63836.967788979586,8,82815.99426933586
2024-12-11,149625.973004504,92639.13695731822,6,56986.83604718577
2024-12-12,147105.18637029294,85283.69384462283,8,61821.49252567011
2024-12-13,146378.84283927327,81130.85063825762,8,65247.99220101567
2024-12-16,148536.51376055478,77417.39139920077,8,71119.12236135402
2024-12-17,148489.96998060646,69992.70737583202,8,78497.26260477444
2024-12-18,142710.7803294669,87162.99490188978,6,55547.78542757714
2024-12-19,143050.38061599547,80010.29714301006,7,63040.08347298541
2024-12-20,142761.85371208782,86640.9421029802,7,56120.91160910761
2024-12-23,143471.28230187413,79467.19873392924,8,64004.08356794488
2024-12-24,145425.0361810107,79467.19873392924,8,65957.83744708146
2024-12-26,144832.21340739483,72225.40710924605,9,72606.80629814876
2024-12-27,142025.49739901855,89464.44046816841,7,52561.05693085016
2024-12-30,140421.57458016538,82443.18629552764,8,57978.388284637724
2024-12-31,138833.78037391946,85359.10614905554,6,53474.67422486392
2025-01-02,138026.67823420838,97295.51938067039,6,40731.158853537985
2025-01-03,139913.6518798801,97279.40835735743,6,42634.24352252267
2025-01-06,141901.83284567072,90184.13942199704,7,51717.69342367369
2025-01-07,138407.6827916017,93605.59509083228,5,44802.08770076942
2025-01-08,137755.2498708181,93601.97295186066,5,44153.27691895745
2025-01-10,136381.29339690416,92701.5195898645,5,43679.77380703966
2025-01-13,135615.01217308553,102920.19130810039,4,32694.820864985155
2025-01-14,134803.53826062,102590.00435704265,5,32213.533903577343
2025-01-15,137140.37185023376,99161.4522253029,6,37978.91962493085
2025-01-16,136289.4792197768,92346.8079833485,7,43942.67123642832
2025-01-17,137871.89434893837,85453.0410078562,7,52418.853341082184
2025-01-21,138462.7724781744,78529.72938765513,7,59933.04309051927
2025-01-22,140607.99925748297,81507.37870036531,7,59100.62055711765
2025-01-23,141478.53472675488,84750.61138023794,8,56727.92334651692
2025-01-24,141003.3302166217,77700.26869892507,8,63303.06151769662
2025-01-27,136863.4833856395,78319.76651914469,9,58543.716866494804
2025-01-28,139664.99978691054,84982.88972267312,8,54682.11006423743
2025-01-29,139314.26331659776,78017.00249669266,9,61297.2608199051
2025-01-30,139619.96769699102,92727.77037862825,8,46892.19731836276
2025-01-31,139976.41316608878,97598.93359547944,7,42377.479570609335
2025-02-03,138498.40652293857,104154.45292037704,7,34343.953602561545
2025-02-04,139787.0344398681,100659.73339721738,8,39127.30104265072
2025-02-05,138769.38247096745,97084.74591255892,8,41684.636558408536
2025-02-06,139968.07326351135,103733.02457572457,7,36235.048687786795
2025-02-07,138640.9316413705,103683.69437912843,7,34957.23726224206
2025-02-10,139672.1758186731,96699.91108086598,8,42972.264737807134
2025-02-11,138525.47319981517,89773.46434624417,8,48752.008853570995
2025-02-12,139153.43984602558,102887.79068764478,6,36265.6491583808
2025-02-13,139925.91861966386,102887.79068764478,6,37038.12793201909
2025-02-14,140426.05218460373,99377.09552127098,7,41048.95666333274
2025-02-18,140574.1199291842,92348.21389058811,7,48225.9060385961
2025-02-19,138688.14547011897,85413.63333920733,7,53274.51213091164
2025-02-20,136626.524666264,98674.34212259547,5,37952.18254366853
2025-02-21,134484.44432176603,102328.73690141867,5,32155.707420347346
2025-02-24,132697.32057989706,106091.14163283326,4,26606.178947063796
2025-02-25,130693.25355499257,114484.24210919239,3,16209.011445800179
2025-02-26,130519.40207994166,117099.7755787013,2,13419.626501240366
2025-02-27,129902.63649017664,110604.48145298993,4,19298.155037186698
2025-02-28,130851.32975246859,116913.87230325544,3,13937.45744921315
2025-03-03,129928.19922080103,110417.3000090746,3,19510.899211726424
2025-03-04,130118.01252763448,110241.55282726268,3,19876.459700371797
2025-03-05,131161.8074697149,106962.46667242692,4,24199.34079728799
2025-03-06,128849.20893598312,106348.08131179307,5,22501.12762419005
2025-03-07,129458.13064952852,102967.70925612442,5,26490.4213934041
2025-03-10,126909.98334139337,108663.73616756023,4,18246.247173833133
2025-03-11,127830.14478498032,114912.41957787228,4,12917.725207108046
2025-03-12,128429.52009834217,111706.70938370214,4,16722.810714640025
2025-03-13,127291.82244590075,105341.95922217268,5,21949.863223728065
2025-03-14,128726.46780854129,111399.08442987208,4,17327.383378669205
2025-03-17,128334.27555288584,114550.11699206343,3,13784.158560822416
2025-03-18,127098.34591939716,114254.71305532796,3,12843.632864069215
2025-03-19,127567.81913324082,111065.47773147815,3,16502.341401762667
2025-03-20,127860.16443217456,111007.2954072329,3,16852.86902494165
2025-03-21,128740.3333320944,111007.2954072329,3,17733.037924861488
2025-03-24,130283.47730100752,104492.95876515498,5,25790.518535852538
2025-03-25,130589.70708029202,97963.31025150736,5,32626.396828784662
2025-03-26,128677.17909034493,91529.29052688205,7,37147.88856346289
2025-03-27,127871.17068886494,91520.51940009234,7,36350.6512887726
2025-03-28,124887.13995705456,109766.13537325426,4,15121.004583800299
2025-03-31,124619.26209320826,118611.763819864,2,6007.498273344256
2025-04-01,124676.19530621404,121590.86812458714,1,3085.327181626891
2025-04-02,124724.72484599435,121590.86812458714,1,3133.856721407213
2025-04-03,124591.7933660038,118365.1613479122,2,6226.632018091597
2025-04-04,124016.47107485824,112164.18284718027,4,11852.288227677964
