tp_pct,sample,test,start,end,symbols,profit,premium,trades,wins,win_rate_pct,profit_on_premium_pct,positive_symbols,max_symbol_share_pct
700,unseen_recent_iv25,tp_700_iv25,2023-08-06,2026-08-05,10,3683.287154114207,302026.340971415,751,227,30.22636484687084,1.2195251388562856,3,1006.1060030696558
750,current_mature,tp_750_current_mature,2023-08-06,2026-08-05,10,184167.6277915467,188021.60255431628,458,171,37.33624454148472,97.9502489552198,9,32.579744720542024
750,unseen_recent,tp_750_unseen_recent,2023-08-06,2026-08-05,10,156852.2462003947,318546.1360186486,740,248,33.51351351351352,49.240040441492624,7,39.59814541318572
750,unseen_predevelopment,tp_750_unseen_predevelopment,2010-01-01,2023-07-31,10,429595.1597733355,1731295.9713880343,3691,1094,29.63966404768356,24.813501958819643,7,31.682845446416756
750,unseen_recent_iv25,tp_750_iv25,2023-08-06,2026-08-05,10,5007.322067723832,302026.340971415,751,227,30.22636484687084,1.657909059063741,3,774.8805726453726
800,current_mature,tp_800_current_mature,2023-08-06,2026-08-05,10,187514.86941393968,188021.60255431628,458,170,37.117903930131,99.7304920639477,9,34.08128802897528
800,unseen_recent,tp_800_unseen_recent,2023-08-06,2026-08-05,10,163572.95544251113,318546.1360186486,740,248,33.51351351351352,51.34984761922684,7,39.66717750617711
800,unseen_predevelopment,tp_800_unseen_predevelopment,2010-01-01,2023-07-31,10,429001.446487364,1731295.9713880343,3691,1090,29.531292332701163,24.779208961216494,7,31.09096517275113
800,unseen_recent_iv25,tp_800_iv25,2023-08-06,2026-08-05,10,8482.300338474877,302026.340971415,751,227,30.22636484687084,2.8084637621980386,3,477.98070145446366
850,current_mature,tp_850_current_mature,2023-08-06,2026-08-05,10,187235.3701297608,188021.60255431628,458,168,36.68122270742359,99.58183931320956,9,36.21838248023445
850,unseen_recent,tp_850_unseen_recent,2023-08-06,2026-08-05,10,162603.9325383887,318546.1360186486,740,247,33.37837837837838,51.04564587431361,8,41.60967547615
850,unseen_predevelopment,tp_850_unseen_predevelopment,2010-01-01,2023-07-31,10,418931.3416945037,1731295.9713880343,3691,1086,29.422920617718773,24.19755770347188,7,30.853880936495543
850,unseen_recent_iv25,tp_850_iv25,2023-08-06,2026-08-05,10,8463.86750618556,302026.340971415,751,227,30.22636484687084,2.8023607076664265,3,472.56321358852114
900,current_mature,tp_900_current_mature,2023-08-06,2026-08-05,10,196641.87596480505,188021.60255431628,458,168,36.68122270742359,104.58472499616023,9,36.47227320719497
900,unseen_recent,tp_900_unseen_recent,2023-08-06,2026-08-05,10,166288.97446237228,318546.1360186486,740,247,33.37837837837838,52.202477336795326,8,42.35588253616866
900,unseen_predevelopment,tp_900_unseen_predevelopment,2010-01-01,2023-07-31,10,407393.8585043899,1731295.9713880343,3691,1083,29.341641831481983,23.53115037735399,7,31.09817550974985
900,unseen_recent_iv25,tp_900_iv25,2023-08-06,2026-08-05,10,6377.31441720872,302026.340971415,751,227,30.22636484687084,2.1115093460713394,3,647.4840518083998
950,current_mature,tp_950_current_mature,2023-08-06,2026-08-05,10,206480.3773735169,188021.60255431628,458,168,36.68122270742359,109.81736915781696,9,36.6261932263858
950,unseen_recent,tp_950_unseen_recent,2023-08-06,2026-08-05,10,165198.60917753165,318546.1360186486,740,247,33.37837837837838,51.86018303102582,8,44.31475368440283
950,unseen_predevelopment,tp_950_unseen_predevelopment,2010-01-01,2023-07-31,10,393842.10301379807,1731295.9713880343,3691,1082,29.314548902736387,22.748398282128647,7,30.22400573111859
950,unseen_recent_iv25,tp_950_iv25,2023-08-06,2026-08-05,10,4131.904600330301,302026.340971415,751,227,30.22636484687084,1.3680610065468963,3,1004.5664588692094
1000,current_mature,tp_1000_current_mature,2023-08-06,2026-08-05,10,199130.6106065721,188021.60255431628,458,168,36.68122270742359,105.90836792226924,9,39.80641272381835
1000,unseen_recent,tp_1000_unseen_recent,2023-08-06,2026-08-05,10,169065.00457182323,318546.1360186486,740,247,33.37837837837838,53.073946111820256,9,43.55446858385236
1000,unseen_predevelopment,tp_1000_unseen_predevelopment,2010-01-01,2023-07-31,10,388191.285875792,1731295.9713880343,3691,1081,29.287455973990788,22.422005959187143,7,28.934685110128694
1000,unseen_recent_iv25,tp_1000_iv25,2023-08-06,2026-08-05,10,5689.5780386585575,302026.340971415,751,227,30.22636484687084,1.883801929447287,3,748.8480104151922
