symbol,entry_date,spot,strike,entry_option_price,budget,contracts,exit_date,exit_option_price,pnl,reason
METU,2024-12-24,36.0,41,0.77778572956547,775.4474441895608,9,2025-01-21,0.0,-700.007156608923,EXPIRY
METU,2024-12-31,33.28499984741211,39,0.46009887568769514,750.8399769690096,16,2025-01-03,0.8971928075910055,699.3502910452966,TARGET_95
METU,2025-01-07,36.880001068115234,42,0.8347847795014385,782.0840379686534,9,2025-01-28,1.627830320027805,713.7409864737299,TARGET_95
METU,2025-01-14,34.040000915527344,40,0.5428581679630415,710.2788708951737,13,2025-01-15,1.058573427527931,670.4298374343563,TARGET_95
METU,2025-01-21,36.4900016784668,42,0.7150123448092156,776.8439129356473,10,2025-01-24,1.3942740723779703,679.2617275687547,TARGET_95
METU,2025-01-28,43.43000030517578,49,1.0578070216833275,748.7162834103196,7,2025-01-30,2.0627236922824888,703.4416694194128,TARGET_95
METU,2025-02-04,47.290000915527344,53,1.0259504342695944,789.4022626355066,7,2025-02-14,2.000603346825709,682.2570387892802,TARGET_95
METU,2025-02-11,49.310001373291016,55,0.508297372362561,814.728460680042,16,2025-02-14,0.991179876106994,772.6120059910928,TARGET_95
METU,2025-02-18,48.66999816894531,54,0.32294069837830097,817.1375867642527,25,2025-03-18,0.0,-807.3517459457523,EXPIRY
METU,2025-02-25,40.84999847412109,46,0.4676405265151775,753.9992031186435,16,2025-02-26,0.9118990267045961,710.8136003030697,TARGET_95
METU,2025-03-04,38.5,44,0.5160643777322997,694.8599192204321,13,2025-03-05,1.0063255365779844,637.3395064993902,TARGET_95
METU,2025-03-11,34.27000045776367,40,0.7565230408307126,620.3786057149587,8,2025-03-12,1.4752199296198896,574.9575110313415,TARGET_95
METU,2025-03-18,31.489999771118164,37,0.9790373028870789,665.6834515574692,6,2025-03-24,1.909122740629804,558.051262645635,TARGET_95
METU,2025-03-25,36.060001373291016,42,1.4439636072301578,687.3734147301564,4,2025-04-22,0.0,-577.5854428920632,EXPIRY
METU,2025-04-01,31.38500022888184,37,1.192699661461023,619.8068087994976,5,2025-04-29,0.0,-596.3498307305115,EXPIRY
METU,2025-04-08,23.450000762939453,29,0.9677938989739303,543.6347124251935,5,2025-04-09,1.887198102999164,459.7021020126169,TARGET_95
METU,2025-04-15,23.850000381469727,29,2.2194249443204335,599.6080867353588,2,2025-05-02,4.327878641424845,421.69073942088227,TARGET_95
METU,2025-04-22,21.790000915527344,27,1.9176916231751733,564.4907881654524,2,2025-04-25,3.739498665191588,364.3614084032829,TARGET_95
METU,2025-04-29,26.674999237060547,32,2.719794742997008,653.8200126569399,2,2025-05-12,5.3035997488441655,516.7610011694314,TARGET_95
METU,2025-05-06,29.709999084472656,35,2.7377640248658732,698.488119529308,2,2025-05-13,5.3386398484884525,520.1751647245159,TARGET_95
METU,2025-05-13,36.790000915527344,42,1.9944205597376694,716.7446131104182,3,2025-06-10,0.0,-598.3261679213008,EXPIRY
METU,2025-05-20,34.599998474121094,40,1.3336600415729318,747.1137081289588,5,2025-06-05,2.600637081067217,633.4885197471425,TARGET_95
METU,2025-05-27,35.06999969482422,41,1.2206838857564541,742.4255137957263,6,2025-06-04,2.3803335772250853,695.7898148811787,TARGET_95
METU,2025-06-03,37.65999984741211,43,1.2719036657287095,752.6865977938576,5,2025-06-06,2.4802121481709833,604.1542412211369,TARGET_95
METU,2025-06-10,41.65299987792969,47,0.6696835801367254,786.6595709895486,11,2025-07-08,0.0,-736.651938150398,EXPIRY
METU,2025-06-17,40.97999954223633,46,0.7140916438983869,798.752569878638,11,2025-06-27,1.3924787056018544,746.2257678738143,TARGET_95
METU,2025-06-24,42.45989990234375,48,0.7624496148502846,780.0667635882331,10,2025-06-30,1.486776748958055,724.3271341077705,TARGET_95
METU,2025-07-01,43.09000015258789,49,0.7258377894126085,836.544483369446,11,2025-07-29,0.0,-798.4215683538694,EXPIRY
METU,2025-07-08,43.13999938964844,49,0.527063807339534,825.7483456105015,15,2025-07-31,1.0277744243120912,751.065925458836,TARGET_95
METU,2025-07-15,41.77999877929688,47,0.6005622124638474,850.1306993598134,14,2025-07-31,1.1710963143045026,798.7477425769172,TARGET_95
METU,2025-07-22,41.1150016784668,47,0.2635864509023378,863.5514242649793,32,2025-07-24,0.5139935792595587,801.3028107431069,TARGET_95
METU,2025-07-29,40.459999084472656,46,0.21489825324363654,854.1922953324038,39,2025-07-31,0.4190515938250912,796.1980282676733,TARGET_95
METU,2025-08-05,47.4213981628418,53,2.8874507650671344,846.3675989025053,2,2025-09-02,0.0,-577.4901530134268,EXPIRY
METU,2025-08-12,50.5,56,3.245433252669251,873.4106828701676,2,2025-09-09,0.0,-649.0866505338502,EXPIRY
METU,2025-08-19,45.5,51,2.9169449417844877,869.8604650568718,2,2025-09-16,0.0,-583.3889883568976,EXPIRY
METU,2025-08-26,45.7400016784668,51,2.9865993818926917,852.7017967610954,2,2025-09-23,0.0,-597.3198763785383,EXPIRY
METU,2025-09-02,43.34400177001953,49,0.4882906357908441,828.3242326179537,16,2025-09-04,0.9521667397921459,742.201766402083,TARGET_95
METU,2025-09-09,46.90999984741211,52,0.7244777149165067,883.2453488563824,12,2025-10-07,0.0,-869.3732578998081,EXPIRY
METU,2025-09-16,48.38999938964844,54,0.4933531271102698,904.3715649403101,18,2025-10-14,0.0,-888.0356287984856,EXPIRY
METU,2025-09-23,45.2400016784668,51,0.27792978344750097,936.1017872073239,33,2025-10-21,0.0,-917.1682853767531,EXPIRY
METU,2025-09-30,42.709999084472656,48,0.29019573492486384,916.4670631471812,31,2025-10-28,0.0,-899.6067782670779,EXPIRY
METU,2025-10-07,40.060001373291016,46,0.2508752238146901,928.9934339302865,37,2025-10-09,0.4892066864386456,881.8264117086355,TARGET_95
METU,2025-10-14,39.36000061035156,45,0.4644972895678725,920.6124000908733,19,2025-10-20,0.9057697146573513,838.4176076700098,TARGET_95
METU,2025-10-21,42.005001068115234,48,0.6005243281148545,933.8386188916825,15,2025-11-18,0.0,-900.7864921722817,EXPIRY
METU,2025-10-28,44.02000045776367,50,0.6532928125527189,949.426167163044,14,2025-11-25,0.0,-914.6099375738065,EXPIRY
METU,2025-11-04,30.09499931335449,36,1.2743607688108956,977.42400476945,7,2025-12-02,0.0,-892.0525381676268,EXPIRY
METU,2025-11-11,29.950000762939453,35,1.367360115825356,953.0186108853453,6,2025-12-09,0.0,-820.4160694952136,EXPIRY
METU,2025-11-18,27.13999938964844,33,0.9045211053745819,889.8360955497355,9,2025-11-28,1.7638161554804346,773.3655450952674,TARGET_95
METU,2025-11-25,30.56999969482422,36,1.513290717858089,907.4804909150048,5,2025-12-23,0.0,-756.6453589290445,EXPIRY
METU,2025-12-02,31.530000686645508,37,0.4346440800894431,920.121002322016,21,2025-12-04,0.847555956174414,867.1149397784388,TARGET_95
METU,2025-12-09,32.34000015258789,38,0.4851307740236761,923.6131612751278,19,2026-01-06,0.0,-921.7484706449846,EXPIRY
METU,2025-12-16,32.2400016784668,38,0.3811480162758416,884.788231301314,23,2026-01-13,0.0,-876.6404374344356,EXPIRY
METU,2025-12-23,32.70000076293945,38,0.4033397421259233,894.1825774691747,22,2026-01-20,0.0,-887.3474326770311,EXPIRY
METU,2025-12-30,32.72999954223633,38,0.2288399872181106,899.4905492472477,39,2026-01-27,0.0,-892.4759501506313,EXPIRY
METU,2026-01-06,32.099998474121094,38,0.06145530999244042,903.687849611828,147,2026-01-29,0.11983785448525881,858.2234040444304,TARGET_95
METU,2026-01-13,29.229999542236328,35,0.06172097214004735,924.0538159869382,149,2026-01-23,0.12035589567309232,873.6603606423702,TARGET_95
METU,2026-01-20,26.700000762939453,32,0.05488476869243897,876.9241625156172,159,2026-01-21,0.10702529895025599,829.0344310992906,TARGET_95
METU,2026-01-27,32.939998626708984,38,0.6909350179604132,909.1672666635884,13,2026-01-29,1.3473232850228058,853.3047471811103,TARGET_95
METU,2026-02-03,34.349998474121094,40,1.8719464158786217,928.9476494273944,4,2026-03-03,0.0,-748.7785663514487,EXPIRY
METU,2026-02-10,32.22999954223633,38,1.7461966421098651,896.6631059762242,5,2026-03-10,0.0,-873.0983210549325,EXPIRY
METU,2026-02-17,29.13999938964844,35,1.4435885152230545,849.7771329850062,5,2026-03-17,0.0,-721.7942576115273,EXPIRY
METU,2026-02-24,29.01000022888184,35,1.1268015140701122,849.8034156513235,7,2026-03-24,0.0,-788.7610598490786,EXPIRY
METU,2026-03-03,30.40999984741211,36,0.2882169957877201,879.0605965335993,30,2026-03-31,0.0,-864.6509873631603,EXPIRY
METU,2026-03-10,30.184999465942383,36,0.18232863305431435,867.9243750306072,47,2026-04-07,0.0,-856.9445753552775,EXPIRY
METU,2026-03-17,27.290000915527344,33,0.2463849638361606,867.1277597956947,35,2026-04-14,0.0,-862.3473734265621,EXPIRY
METU,2026-03-24,24.489999771118164,30,0.20286862571471476,853.4498606580412,42,2026-04-14,0.39559382014369376,809.4458166017118,TARGET_95
METU,2026-03-31,22.3799991607666,28,0.7519850386794991,788.951272201909,10,2026-04-08,1.4663708254250232,714.3857867455242,TARGET_95
METU,2026-04-07,22.584999084472656,28,0.7690561637372619,851.2485107001664,11,2026-04-08,1.4996595192876607,803.6636911054387,TARGET_95
METU,2026-04-14,29.729999542236328,35,1.7438657507983901,890.1766098326775,5,2026-05-12,0.0,-871.9328753991952,EXPIRY
METU,2026-04-21,30.190000534057617,36,1.6318799412565514,934.6929356442665,5,2026-05-19,0.0,-815.9399706282757,EXPIRY
METU,2026-04-28,30.32999992370605,36,0.8658027614325032,954.9376077638334,11,2026-05-26,0.0,-952.3830375757536,EXPIRY
METU,2026-05-05,24.3700008392334,30,0.8704090426547255,957.177566238578,10,2026-06-02,0.0,-870.4090426547255,EXPIRY
METU,2026-05-12,24.14299964904785,30,0.42522577378178017,973.4484531659862,22,2026-06-09,0.0,-935.4967023199163,EXPIRY
METU,2026-05-19,24.049999237060547,30,0.3789180387367326,965.7200856120155,25,2026-05-27,0.7388901755366285,899.9303419997398,TARGET_95
METU,2026-05-26,24.76499938964844,30,0.4302382091614714,984.2498824011241,22,2026-05-27,0.8389645078648692,899.1978571474752,TARGET_95
METU,2026-06-02,23.459999084472656,29,0.14986680933698437,1058.3797982942513,70,2026-06-03,0.2922402782071195,996.614282090946,TARGET_95
METU,2026-06-09,22.290000915527344,28,0.3320906920212532,970.1340729669192,29,2026-07-07,0.0,-963.0630068616343,EXPIRY
