symbol,entry_date,exit_date,entry_price,exit_price,contracts,strike,expiry_date,entry_iv,hold_iv,pnl,reason,scenario,family,cost
NVDU,2023-12-11 09:30:00,2024-01-24 09:30:00,1.0114856658424642,9.103370992582178,4,22.58,2024-03-04 09:30:00,0.4402715801330427,0.4402715801330427,3236.7541306958856,TARGET,risk_current_mature_tp800,semiconductors,404.5942663369857
NVDU,2023-12-18 09:30:00,2024-02-05 09:30:00,1.2065827254801773,10.859244529321597,4,25.12,2024-03-11 09:30:00,0.45925309759269645,0.45925309759269645,3861.0647215365675,TARGET,risk_current_mature_tp800,semiconductors,482.63309019207094
NVDU,2024-01-29 09:30:00,2024-03-06 09:30:00,1.8825231015431871,16.942707913888682,2,34.57,2024-04-22 09:30:00,0.49797329976894716,0.49797329976894716,3012.036962469099,TARGET,risk_current_mature_tp800,semiconductors,376.5046203086374
GGLL,2024-02-05 09:30:00,2024-04-29 09:30:00,1.749538654816666,4.142476654052736,2,32.65,2024-04-29 09:30:00,0.49278544741000074,0.49278544741000074,478.58759984721394,EXPIRY,risk_current_mature_tp800,GOOGL,349.9077309633332
MSFU,2024-02-05 09:30:00,2024-04-29 09:30:00,0.807666785764722,0.0,6,41.81,2024-04-29 09:30:00,0.27860197517669355,0.27860197517669355,-484.6000714588332,EXPIRY,risk_current_mature_tp800,MSFT,484.6000714588332
NVDU,2024-02-05 09:30:00,2024-04-29 09:30:00,2.3770791132121136,7.964906616210939,2,40.33,2024-04-29 09:30:00,0.524410139941045,0.524410139941045,1117.565500599765,EXPIRY,risk_current_mature_tp800,semiconductors,475.4158226424227
GGLL,2024-02-12 09:30:00,2024-05-06 09:30:00,1.8012598561755535,3.629106597900389,2,33.92,2024-05-06 09:30:00,0.4895379717591235,0.4895379717591235,365.56934834496707,EXPIRY,risk_current_mature_tp800,GOOGL,360.2519712351107
MSFU,2024-02-12 09:30:00,2024-05-06 09:30:00,0.9264929747522626,0.0,5,43.24,2024-05-06 09:30:00,0.2928567245253322,0.2928567245253322,-463.2464873761313,EXPIRY,risk_current_mature_tp800,MSFT,463.2464873761313
AMZU,2024-02-20 09:30:00,2024-05-14 09:30:00,1.836745158507327,1.877082977294922,2,30.34,2024-05-14 09:30:00,0.5332676646117185,0.5332676646117185,8.067563757519025,EXPIRY,risk_current_mature_tp800,AMZN,367.3490317014654
AMZU,2024-02-26 09:30:00,2024-05-20 09:30:00,2.109909251864993,0.0,2,32.39,2024-05-20 09:30:00,0.5607214496949173,0.5607214496949173,-421.98185037299857,EXPIRY,risk_current_mature_tp800,AMZN,421.98185037299857
AAPU,2024-03-04 09:30:00,2024-05-24 09:30:00,0.31055906691898016,1.0958763885498044,16,20.32,2024-05-27 09:30:00,0.25,0.25,1256.5077146093188,EXPIRY,risk_current_mature_tp800,AAPL,496.89450707036826
AAPU,2024-03-11 09:30:00,2024-06-03 09:30:00,0.3060341158465274,2.4203063201904307,16,19.88,2024-06-03 09:30:00,0.25091116452536827,0.25091116452536827,3382.8355269502454,EXPIRY,risk_current_mature_tp800,AAPL,489.65458535444384
TSLT,2024-03-11 09:30:00,2024-06-03 09:30:00,1.6807859745000213,0.0,2,12.8,2024-06-03 09:30:00,0.9418537731184105,0.9418537731184105,-336.15719490000424,EXPIRY,risk_current_mature_tp800,TSLA,336.15719490000424
TSLT,2024-03-18 09:30:00,2024-06-10 09:30:00,1.665088840153616,0.0,3,12.11,2024-06-10 09:30:00,0.9780459632989256,0.9780459632989256,-499.5266520460848,EXPIRY,risk_current_mature_tp800,TSLA,499.5266520460848
NVDU,2024-04-08 09:30:00,2024-06-06 09:30:00,4.065829360580324,36.592464245222914,1,54.21,2024-07-01 09:30:00,0.6183041904182376,0.6183041904182376,3252.663488464259,TARGET,risk_current_mature_tp800,semiconductors,406.5829360580324
GGLL,2024-04-29 09:30:00,2024-07-22 09:30:00,4.808916286151314,2.26430633544922,1,40.47,2024-07-22 09:30:00,0.8708113902400595,0.8708113902400595,-254.46099507020944,EXPIRY,risk_current_mature_tp800,GOOGL,480.8916286151314
GGLL,2024-05-06 09:30:00,2024-07-29 09:30:00,4.78600782056558,0.0,1,41.3,2024-07-29 09:30:00,0.8537563770008927,0.8537563770008927,-478.60078205655793,EXPIRY,risk_current_mature_tp800,GOOGL,478.60078205655793
AAPU,2024-05-28 09:30:00,2024-08-20 09:30:00,1.4616085570672235,5.640354537963866,3,23.6,2024-08-20 09:30:00,0.5417401935774566,0.5417401935774566,1253.6237942689927,EXPIRY,risk_current_mature_tp800,AAPL,438.482567120167
AAPU,2024-06-03 09:30:00,2024-07-05 09:30:00,0.5235366492487454,4.711829843238709,9,24.53,2024-08-26 09:30:00,0.29221250140535215,0.29221250140535215,3769.463874590967,TARGET,risk_current_mature_tp800,AAPL,471.18298432387087
TSLT,2024-06-03 09:30:00,2024-07-11 09:30:00,1.2923030526986188,11.63072747428757,3,11.26,2024-08-26 09:30:00,0.8466838061457076,0.8466838061457076,3101.5273264766847,TARGET,risk_current_mature_tp800,TSLA,387.6909158095856
METU,2024-06-06 09:30:00,2024-08-29 09:30:00,2.967868161167546,0.0,1,27.85,2024-08-29 09:30:00,0.8,0.8,-296.7868161167546,EXPIRY,risk_current_mature_tp800,META,296.7868161167546
AMZU,2024-06-10 09:30:00,2024-08-30 09:30:00,0.899666634112334,0.0,5,35.08,2024-09-02 09:30:00,0.32053648441494714,0.32053648441494714,-449.83331705616706,EXPIRY,risk_current_mature_tp800,AMZN,449.83331705616706
METU,2024-06-10 09:30:00,2024-08-30 09:30:00,3.0648523916938633,0.0,1,28.77,2024-09-02 09:30:00,0.8,0.8,-306.4852391693863,EXPIRY,risk_current_mature_tp800,META,306.4852391693863
MSFU,2024-06-10 09:30:00,2024-08-30 09:30:00,1.3777479402306625,0.0,3,44.04,2024-09-02 09:30:00,0.35657770428377983,0.35657770428377983,-413.32438206919875,EXPIRY,risk_current_mature_tp800,MSFT,413.32438206919875
TSLT,2024-06-10 09:30:00,2024-07-08 09:30:00,1.1200947200778124,10.080852480700312,4,10.9,2024-09-02 09:30:00,0.7783127357393657,0.7783127357393657,3584.3031042489997,TARGET,risk_current_mature_tp800,TSLA,448.03788803112496
AMZU,2024-06-17 09:30:00,2024-09-09 09:30:00,0.8961965237223257,0.0,5,33.87,2024-09-09 09:30:00,0.3261678622672442,0.3261678622672442,-448.0982618611628,EXPIRY,risk_current_mature_tp800,AMZN,448.0982618611628
METU,2024-06-17 09:30:00,2024-09-09 09:30:00,3.1181108291249,0.0,1,29.27,2024-09-09 09:30:00,0.8,0.8,-311.81108291249,EXPIRY,risk_current_mature_tp800,META,311.81108291249
MSFU,2024-06-17 09:30:00,2024-09-09 09:30:00,1.5897220473701168,0.0,3,48.26,2024-09-09 09:30:00,0.3670699274907581,0.3670699274907581,-476.91661421103504,EXPIRY,risk_current_mature_tp800,MSFT,476.91661421103504
AAPU,2024-07-01 09:30:00,2024-09-23 09:30:00,2.5775613048502315,0.0,1,30.1,2024-09-23 09:30:00,0.6796497260848814,0.6796497260848814,-257.75613048502316,EXPIRY,risk_current_mature_tp800,AAPL,257.75613048502316
