symbol,entry_date,exit_date,entry_price,exit_price,contracts,strike,expiry_date,entry_iv,hold_iv,pnl,reason,scenario,family,cost
UYG,2025-02-24 09:30:00,2025-05-19 09:30:00,1.4102652264441353,0.0,3,92.38,2025-05-19 09:30:00,0.25,0.25,-423.07956793324064,max_positions,risk_unseen_recent_tp500,financials,423.07956793324064
DDM,2025-03-03 09:30:00,2025-05-23 09:30:00,0.8043501671950111,0.0,6,52.73,2025-05-26 09:30:00,0.25,0.25,-482.61010031700664,symbol_cap,risk_unseen_recent_tp500,dow_30,482.61010031700664
MVV,2025-03-03 09:30:00,2025-05-23 09:30:00,1.7898575610763245,0.0,2,68.66,2025-05-26 09:30:00,0.3235424108737816,0.3235424108737816,-357.9715122152649,symbol_cap,risk_unseen_recent_tp500,midcap_400,357.9715122152649
QLD,2025-03-03 09:30:00,2025-05-23 09:30:00,2.030636876988021,0.0,2,55.28,2025-05-26 09:30:00,0.39087691020137033,0.39087691020137033,-406.1273753976042,symbol_cap,risk_unseen_recent_tp500,nasdaq_100,406.1273753976042
RXL,2025-03-03 09:30:00,2025-05-23 09:30:00,0.8453487337673362,0.0,5,55.39,2025-05-26 09:30:00,0.25,0.25,-422.67436688366814,max_positions,risk_unseen_recent_tp500,healthcare,422.67436688366814
SSO,2025-03-03 09:30:00,2025-05-23 09:30:00,0.9584875100190473,0.0,5,49.27,2025-05-26 09:30:00,0.2794011981538547,0.2794011981538547,-479.2437550095236,max_positions,risk_unseen_recent_tp500,broad_market,479.2437550095236
UCC,2025-03-03 09:30:00,2025-05-23 09:30:00,1.6531757848573143,0.0,3,48.77,2025-05-26 09:30:00,0.37318458339054056,0.37318458339054056,-495.95273545719425,max_positions,risk_unseen_recent_tp500,consumer_discretionary,495.95273545719425
UYG,2025-03-03 09:30:00,2025-05-23 09:30:00,1.6963114611779737,0.0,2,94.71,2025-05-26 09:30:00,0.26879325998536324,0.26879325998536324,-339.2622922355947,max_positions,risk_unseen_recent_tp500,financials,339.2622922355947
RXL,2025-03-10 09:30:00,2025-06-02 09:30:00,0.820386301821113,0.0,6,53.78,2025-06-02 09:30:00,0.25,0.25,-492.2317810926678,symbol_cap,risk_unseen_recent_tp500,healthcare,492.2317810926678
RXL,2025-03-17 09:30:00,2025-06-09 09:30:00,0.8897915874690874,0.0,5,53.09,2025-06-09 09:30:00,0.2606938817188878,0.2606938817188878,-444.8957937345437,symbol_cap,risk_unseen_recent_tp500,healthcare,444.8957937345437
DDM,2025-05-12 09:30:00,2025-08-04 09:30:00,2.027454042261313,0.0,2,49.57,2025-08-04 09:30:00,0.41633840979160464,0.41633840979160464,-405.4908084522626,symbol_cap,risk_unseen_recent_tp500,dow_30,405.4908084522626
SSO,2025-05-12 09:30:00,2025-08-04 09:30:00,2.150694845723619,2.6124011230468795,2,47.63,2025-08-04 09:30:00,0.44200241750821057,0.44200241750821057,92.34125546465215,symbol_cap,risk_unseen_recent_tp500,broad_market,430.1389691447238
DDM,2025-05-19 09:30:00,2025-08-11 09:30:00,1.1514514230419408,0.0,4,50.51,2025-08-11 09:30:00,0.30183617240838545,0.30183617240838545,-460.5805692167763,symbol_cap,risk_unseen_recent_tp500,dow_30,460.5805692167763
MVV,2025-05-19 09:30:00,2025-08-11 09:30:00,2.260271339507266,0.0,2,68.71,2025-08-11 09:30:00,0.3668949151308914,0.3668949151308914,-452.0542679014533,symbol_cap,risk_unseen_recent_tp500,midcap_400,452.0542679014533
RXL,2025-05-19 09:30:00,2025-08-11 09:30:00,2.5127461776633986,0.0,1,43.66,2025-08-11 09:30:00,0.5161506965879965,0.5161506965879965,-251.27461776633987,max_positions,risk_unseen_recent_tp500,healthcare,251.27461776633987
SSO,2025-05-19 09:30:00,2025-08-11 09:30:00,1.2796346796521298,1.371932678222656,3,49.57,2025-08-11 09:30:00,0.3217525898723817,0.3217525898723817,27.689399571157836,max_positions,risk_unseen_recent_tp500,broad_market,383.89040389563894
UCC,2025-05-19 09:30:00,2025-08-11 09:30:00,2.364204313917927,0.0,2,49.36,2025-08-11 09:30:00,0.4587258299124253,0.4587258299124253,-472.8408627835854,max_positions,risk_unseen_recent_tp500,consumer_discretionary,472.8408627835854
UYG,2025-05-19 09:30:00,2025-08-11 09:30:00,2.307554042819671,0.0,2,91.7,2025-08-11 09:30:00,0.3175253573738619,0.3175253573738619,-461.51080856393423,max_positions,risk_unseen_recent_tp500,financials,461.51080856393423
DDM,2025-05-27 09:30:00,2025-08-19 09:30:00,1.2961609125995395,0.611803131103521,3,49.42,2025-08-19 09:30:00,0.3245580851144433,0.3245580851144433,-205.30733444880553,symbol_cap,risk_unseen_recent_tp500,dow_30,388.84827377986187
QLD,2025-05-27 09:30:00,2025-08-19 09:30:00,2.181480640424617,3.9973228454589744,2,57.95,2025-08-19 09:30:00,0.3964951431529606,0.3964951431529606,363.1684410068715,max_positions,risk_unseen_recent_tp500,nasdaq_100,436.2961280849234
ROM,2025-05-27 09:30:00,2025-08-19 09:30:00,3.315469801287282,9.630690002441412,1,70.6,2025-08-19 09:30:00,0.45296382098059723,0.45296382098059723,631.5220201154129,max_positions,risk_unseen_recent_tp500,technology,331.5469801287282
