date,symbol,side,price,qty,pnl,reason,tranches,decline
2024-12-17,NFXL,BUY,39.89994,110.25581496317633,0.0,ENTRY,4,-0.002002002002001957
2024-12-18,TSLT,BUY,45.952965,90.71754869658116,0.0,ENTRY,3,-0.11451706188548294
2024-12-18,PLTU,BUY,25.262625,165.01611927263258,0.0,ENTRY,1,-0.07237325495958846
2024-12-23,PLTU,BUY,31.825904999999995,134.80735927849992,0.0,ENTRY,2,-0.0003142677561283058
2024-12-26,PLTU,BUY,33.006495,132.587658556949,0.0,ENTRY,3,-0.023964497041420008
2024-12-31,TSLT,BUY,37.89894,106.87087253295613,0.0,ENTRY,4,-0.09377990430621996
2024-12-31,PLTU,BUY,27.873929999999998,145.30756107495975,0.0,ENTRY,4,-0.05011933174224337
2025-01-27,METU,EXIT,41.09707007998611,491.3687159212186,6724.53687893851,TP,4,
2025-01-30,METU,BUY,45.112545000000004,93.39670574361458,0.0,ENTRY,1,-0.027604054345481854
2025-01-31,METU,BUY,45.28263,93.60471805870071,0.0,ENTRY,2,-0.010277717034769318
2025-02-04,PLTU,EXIT,43.820315453008526,577.7186981830413,8430.162372548297,TP,4,
2025-02-05,PLTU,BUY,46.18308,94.11732066849628,0.0,ENTRY,1,-0.0085910652920963
2025-02-07,PLTU,BUY,54.80739,78.38441059575239,0.0,ENTRY,2,-0.015456506110711699
2025-02-07,METU,BUY,48.634305,88.33363531033358,0.0,ENTRY,3,-0.004912998976458582
2025-02-11,PLTU,BUY,56.318144999999994,76.18541584604536,0.0,ENTRY,3,-0.06943296412630195
2025-02-19,METU,BUY,46.953464999999994,93.25507573504957,0.0,ENTRY,4,-0.001064282673478023
2025-02-21,PLTU,BUY,44.472225,92.76644956816554,0.0,ENTRY,4,-0.11612646649433278
2025-05-15,NFXL,EXIT,58.11149136676614,438.46219578433215,8484.7332222168,TP,4,
2025-05-16,NFXL,BUY,59.60979,67.64234512159055,0.0,ENTRY,1,-0.0005032712632109249
2025-05-22,NFXL,BUY,59.019495,66.72307089269587,0.0,ENTRY,2,-0.012058281694858453
2025-05-28,NFXL,BUY,61.11053999999999,65.35844059469783,0.0,ENTRY,3,-0.0019607843137255943
2025-05-29,NFXL,BUY,58.519245,68.15857810339146,0.0,ENTRY,4,-0.040045954373871595
2025-07-17,PLTU,EXIT,74.90166385296453,341.4535966784596,8516.618094385867,TP,4,
2025-07-18,PLTU,BUY,76.89842999999999,58.275687093075014,0.0,ENTRY,1,-0.014615384615384586
2025-07-21,PLTU,BUY,75.11753999999999,60.281637426602124,0.0,ENTRY,2,-0.02821641211493664
2025-07-22,PLTU,BUY,72.45621,61.59386487249025,0.0,ENTRY,3,-0.023857662757784004
2025-07-31,MSFU,EXIT,55.210669000824495,290.52362515687247,5341.318559245459,TP,4,
2025-07-31,MSFU,BUY,56.57827499999999,81.39468158774422,0.0,ENTRY,1,-0.07537606278613473
