strike_otm_pct,dte_days,tp_pct,total_profit,executed,wins,losses,win_rate_pct,premium_deployed,profit_on_premium_pct,paused_entries,pause_triggers,dotcom_profit,gfc_profit,covid_profit
12.5,56,100,-21904.336723136123,539,240,299,44.526901669758814,259943.23059505632,-8.426584786606368,736,240,-15329.535490913451,-9721.294683985856,3146.493451763188
10.0,56,50,-22120.2811995357,588,355,233,60.37414965986394,281875.01926225063,-7.847549334960916,687,206,-15424.787809309413,-10308.450888909538,3612.9574986832467
20.0,56,200,-22412.829178435204,521,160,361,30.710172744721685,254632.58963081375,-8.802026956145353,754,262,-17739.309571682716,-7769.665902140179,3096.146295387689
15.0,56,50,-22511.029142203723,577,346,231,59.96533795493934,279539.55605017405,-8.05289579059189,698,214,-14026.415822138573,-11026.858471417336,2542.2451513521846
17.5,56,100,-22584.78506007106,525,236,289,44.952380952380956,255465.61251814122,-8.840636059566435,750,247,-13669.558363519613,-11532.527670370197,2617.3009738187484
12.5,56,50,-24123.283759102134,573,341,232,59.51134380453752,276504.9843610739,-8.72435765121715,702,208,-14985.4599905213,-12066.163650400926,2928.339881820087
17.5,56,350,-24640.76115997435,510,109,401,21.372549019607842,248253.357604193,-9.92565071335743,765,266,-28745.639499647477,-7812.544261035536,11917.422600708662
20.0,56,50,-25066.230724241766,565,340,225,60.17699115044248,276968.20471906546,-9.050219590969641,710,218,-13685.530900316071,-13728.396750793756,2347.6969268680614
17.5,56,50,-25101.144950855658,575,345,230,60.0,280825.8519386728,-8.938331274549927,700,216,-12339.2314923743,-15000.878434105081,2238.9649756237222
17.5,56,300,-25521.02145906635,512,120,392,23.4375,249257.50206445163,-10.238817787906445,763,264,-27981.23842515607,-6227.3928835607885,8687.6098496505
20.0,56,250,-26755.723814716883,513,134,379,26.120857699805068,250697.04762481363,-10.672532472244656,762,268,-19236.169920088323,-11135.589639672211,3616.035745043654
17.5,56,450,-27298.6973200443,510,95,415,18.627450980392158,248386.48764756855,-10.990411587436256,765,268,-40104.06027257979,-5571.685150289501,18377.048102824992
20.0,56,300,-29769.281481715567,511,118,393,23.09197651663405,249719.28189847287,-11.921098465203306,764,269,-27540.556254585823,-8829.721892207162,6600.996665077427
17.5,56,500,-30099.13477149717,510,90,420,17.647058823529413,248386.48764756855,-12.11786319640879,765,268,-52850.21365881955,1144.218033439226,21606.86085388315
17.5,56,400,-31928.462207670203,510,100,410,19.607843137254903,248386.48764756855,-12.854347476813219,765,267,-42244.650032471516,-4831.047526965514,15147.235351766827
20.0,56,400,-34148.347922462126,509,97,412,19.05697445972495,248668.92299382266,-13.732454989283251,766,271,-38632.213889380335,-8087.052538226751,12570.91850514496
20.0,56,350,-35101.19837900722,509,104,405,20.43222003929273,248668.92299382266,-14.115635342128854,766,271,-32679.6677668463,-12007.488197272101,9585.957585111191
20.0,56,450,-36840.6918804825,509,92,417,18.07465618860511,248684.2183807757,-14.814246002564365,766,272,-46055.53508679164,-6341.036218869581,15555.879425178733
20.0,56,500,-38000.79610120417,509,87,422,17.092337917485263,248684.2183807757,-15.280742923147143,766,273,-47933.92474966273,-5608.027675782735,15541.156324241289
