entry_date,spot,strike,entry_option_price,contracts,exit_date,pnl,reason,crash,symbol
2002-08-27 09:30:00,0.0833302810788154,0.09,0.022257365062256184,224,2002-11-19 09:30:00,-92.43777822156606,EXPIRY,Dot-com crash,NVDA
2002-09-03 09:30:00,0.0723416954278945,0.08,0.01099728229975467,454,2002-11-26 09:30:00,1359.8871410345641,EXPIRY,Dot-com crash,NVDA
2002-09-10 09:30:00,0.0806591361761093,0.09,0.013331104875497005,375,2002-12-03 09:30:00,669.3220339383188,EXPIRY,Dot-com crash,NVDA
2002-09-17 09:30:00,0.0744020342826843,0.08,0.009502663691144966,526,2002-12-02 09:30:00,2499.2005507711265,TARGET_500,Dot-com crash,NVDA
2002-09-24 09:30:00,0.0677631050348281,0.07,0.009006010361377631,555,2002-11-04 09:30:00,2499.1678752822927,TARGET_500,Dot-com crash,NVDA
2002-10-01 09:30:00,0.0688317418098449,,,0,,0.0,PAUSED,Dot-com crash,NVDA
2002-10-08 09:30:00,0.0573083460330963,,,0,,0.0,PAUSED,Dot-com crash,NVDA
1999-12-10 09:30:00,31.9981689453125,35.2,0.9388560116036544,5,2000-02-08 09:30:00,2347.140029009136,TARGET_500,Dot-com crash,CSCO
1999-12-14 09:30:00,31.39708137512207,34.54,1.055495909842369,4,2000-02-08 09:30:00,2110.991819684738,TARGET_500,Dot-com crash,CSCO
1999-12-21 09:30:00,33.340606689453125,36.67,1.1839200053792158,4,2000-02-10 09:30:00,2367.8400107584316,TARGET_500,Dot-com crash,CSCO
1999-12-28 09:30:00,33.72129821777344,37.09,1.1044595082276878,4,2000-02-10 09:30:00,2208.9190164553756,TARGET_500,Dot-com crash,CSCO
2000-01-04 09:30:00,32.69944763183594,35.97,1.0968366492968027,4,2000-02-09 09:30:00,2193.6732985936055,TARGET_500,Dot-com crash,CSCO
2000-01-11 09:30:00,34.142066955566406,37.56,1.5717047338168584,3,2000-03-22 09:30:00,2357.5571007252875,TARGET_500,Dot-com crash,CSCO
2000-01-18 09:30:00,35.9052734375,39.5,1.6711775800526851,2,2000-03-23 09:30:00,1671.1775800526852,TARGET_500,Dot-com crash,CSCO
2000-01-25 09:30:00,35.945350646972656,39.54,1.9559279104678513,2,2000-03-24 09:30:00,1955.9279104678512,TARGET_500,Dot-com crash,CSCO
