fold,train_start,train_end_purged,test_start,test_end,embargo_days,strike_otm_pct,dte_days,tp_pct,train_profit,train_profit_on_premium_pct,test_profit,test_premium,test_profit_on_premium_pct,test_trades,test_win_rate_pct
2014_2015,2010-01-01,2013-10-09,2014-01-01,2015-12-31,84,10.0,56,500.0,47636.79629240199,10.965317763742354,-102176.98278072284,181511.10032657892,-56.29241550345058,373,11.528150134048257
2014_2015,2010-01-01,2013-10-09,2014-01-01,2015-12-31,84,10.0,56,700.0,44582.518800956146,10.262266218739708,-107325.04377845177,181511.10032657892,-59.12863928726678,373,11.26005361930295
2014_2015,2010-01-01,2013-10-09,2014-01-01,2015-12-31,84,10.0,84,300.0,192095.22989123303,39.344055644057676,-79497.87796482205,208978.1730470872,-38.04123502740618,434,19.12442396313364
2014_2015,2010-01-01,2013-10-09,2014-01-01,2015-12-31,84,10.0,84,500.0,225897.56598629913,46.26729362855338,-78168.12816583576,208978.1730470872,-37.40492465125668,434,17.51152073732719
2014_2015,2010-01-01,2013-10-09,2014-01-01,2015-12-31,84,10.0,84,700.0,247623.63859110518,50.717127234386915,-90175.906382526,208978.1730470872,-43.150873159469846,434,16.589861751152075
2014_2015,2010-01-01,2013-10-09,2014-01-01,2015-12-31,84,10.0,112,300.0,246777.9059074819,48.01102996626332,-85706.38651890348,239290.6025101987,-35.81686268488151,498,19.076305220883537
2014_2015,2010-01-01,2013-10-09,2014-01-01,2015-12-31,84,10.0,112,500.0,305083.22097719397,59.35442077230185,-91110.41008529834,239290.6025101987,-38.07521445871037,498,17.46987951807229
2014_2015,2010-01-01,2013-10-09,2014-01-01,2015-12-31,84,10.0,112,700.0,323643.59261370264,62.965370283963075,-95867.11446047669,239290.6025101987,-40.06305030570132,498,17.46987951807229
2014_2015,2010-01-01,2013-10-09,2014-01-01,2015-12-31,84,12.5,56,300.0,7939.04221768046,1.8676978416583052,-90359.15611923157,181589.05146254017,-49.760244569520026,372,13.709677419354838
2014_2015,2010-01-01,2013-10-09,2014-01-01,2015-12-31,84,12.5,56,500.0,29120.495804481252,6.866717153778724,-107071.99589007164,180091.3322135418,-59.45427499148705,369,8.94308943089431
2014_2015,2010-01-01,2013-10-09,2014-01-01,2015-12-31,84,12.5,56,700.0,21425.935271715065,5.0523122358170065,-116006.70201521214,180091.3322135418,-64.41548329358692,369,8.130081300813007
2014_2015,2010-01-01,2013-10-09,2014-01-01,2015-12-31,84,12.5,84,300.0,140546.50151553354,29.75857575351384,-92442.24842862594,205730.783269744,-44.93360058198984,425,15.058823529411763
2014_2015,2010-01-01,2013-10-09,2014-01-01,2015-12-31,84,12.5,84,500.0,160494.631009651,33.982287594722415,-94280.00640977173,205730.783269744,-45.826883518037484,425,12.705882352941176
2014_2015,2010-01-01,2013-10-09,2014-01-01,2015-12-31,84,12.5,84,700.0,184081.60709455292,38.97646964158963,-104350.99926713054,205730.783269744,-50.72211246593598,425,11.294117647058824
2014_2015,2010-01-01,2013-10-09,2014-01-01,2015-12-31,84,12.5,112,300.0,228177.52063529514,45.154828867314016,-89961.09125227472,226573.8904888626,-39.704968237148584,468,16.45299145299145
2014_2015,2010-01-01,2013-10-09,2014-01-01,2015-12-31,84,12.5,112,500.0,280482.6307784858,55.50566575442695,-92731.19889590722,226573.8904888626,-40.92757497160313,468,13.88888888888889
2014_2015,2010-01-01,2013-10-09,2014-01-01,2015-12-31,84,12.5,112,700.0,313769.6688956769,62.09295141471747,-106542.33851842546,226573.8904888626,-47.02321979313085,468,12.82051282051282
2016_2017,2010-01-01,2015-10-09,2016-01-01,2017-12-31,84,7.5,56,300.0,-9462.009278736034,-1.417167987030104,15643.797049912617,231220.0705132939,6.765760868070137,479,32.35908141962422
2016_2017,2010-01-01,2015-10-09,2016-01-01,2017-12-31,84,7.5,56,500.0,-3288.37916711079,-0.49251544228760796,40101.26177218012,231220.0705132939,17.3433308290054,479,31.315240083507305
2016_2017,2010-01-01,2015-10-09,2016-01-01,2017-12-31,84,7.5,56,700.0,-9106.54328660042,-1.3639282353354427,59970.80813620025,231220.0705132939,25.936679286996522,479,31.106471816283925
2016_2017,2010-01-01,2015-10-09,2016-01-01,2017-12-31,84,7.5,84,300.0,217176.76068355417,28.53883600207246,51100.22286459122,254757.12899998671,20.05840741932442,536,37.12686567164179
2016_2017,2010-01-01,2015-10-09,2016-01-01,2017-12-31,84,7.5,84,500.0,259313.18736148614,34.075913573770094,68167.01147061253,254757.12899998671,26.757646287737874,536,36.38059701492538
2016_2017,2010-01-01,2015-10-09,2016-01-01,2017-12-31,84,7.5,84,700.0,268890.2222782597,35.3344157634872,69705.12110179839,254757.12899998671,27.361401573104565,536,36.19402985074627
2016_2017,2010-01-01,2015-10-09,2016-01-01,2017-12-31,84,7.5,112,300.0,295600.4184806231,36.32936732099832,128365.89823103414,271328.3581925401,47.31016657681727,573,47.81849912739965
2016_2017,2010-01-01,2015-10-09,2016-01-01,2017-12-31,84,7.5,112,500.0,357648.80612301524,43.95513009198006,158628.47958159933,271328.3581925401,58.4636565961282,573,46.94589877835951
2016_2017,2010-01-01,2015-10-09,2016-01-01,2017-12-31,84,7.5,112,700.0,346181.41197724064,42.54578440743118,159029.68219006757,271328.3581925401,58.61152267660016,573,46.596858638743456
2016_2017,2010-01-01,2015-10-09,2016-01-01,2017-12-31,84,10.0,56,300.0,-60313.893436371756,-9.329431136993673,-8156.433281351872,229406.37566258357,-3.555451873468657,470,27.02127659574468
2016_2017,2010-01-01,2015-10-09,2016-01-01,2017-12-31,84,10.0,56,500.0,-65867.88844862687,-10.196364275097823,13088.97599489116,229406.37566258357,5.705585102893017,470,24.680851063829788
