fold,train_start,train_end_purged,test_start,test_end,embargo_days,strike_otm_pct,dte_days,tp_pct,train_profit,train_profit_on_premium_pct,test_profit,test_premium,test_profit_on_premium_pct,test_trades,test_win_rate_pct
2022_2023,2010-01-01,2021-10-09,2022-01-01,2023-12-31,84,12.5,84,700.0,309182.49682437343,20.58892011675825,-28066.381102279804,186289.6033546132,-15.065994342611702,433,15.473441108545035
2024_2026,2010-01-01,2023-10-09,2024-01-01,2026-08-05,84,7.5,84,300.0,449283.53931453713,24.907403901397345,72040.45121785352,265250.5371170396,27.159398808706754,645,37.98449612403101
2024_2026,2010-01-01,2023-10-09,2024-01-01,2026-08-05,84,7.5,84,500.0,538949.5163148749,29.878310934332912,71185.85920857887,265250.5371170396,26.837215857236394,645,34.10852713178294
2024_2026,2010-01-01,2023-10-09,2024-01-01,2026-08-05,84,7.5,84,700.0,525548.2952069489,29.1353733510502,76249.8040561515,265250.5371170396,28.746333517321737,645,33.64341085271318
2024_2026,2010-01-01,2023-10-09,2024-01-01,2026-08-05,84,10.0,84,300.0,334809.8988467852,18.99578383331368,46322.80249922494,268910.0819696335,17.22613081664075,628,35.03184713375796
2024_2026,2010-01-01,2023-10-09,2024-01-01,2026-08-05,84,10.0,84,500.0,425396.8023256861,24.135324935716707,49242.153029756766,268910.0819696335,18.31175412579637,628,30.25477707006369
2024_2026,2010-01-01,2023-10-09,2024-01-01,2026-08-05,84,10.0,84,700.0,423687.442532339,24.038342650426998,39103.81088686745,268910.0819696335,14.541593457728084,628,28.980891719745223
2024_2026,2010-01-01,2023-10-09,2024-01-01,2026-08-05,84,12.5,84,300.0,166179.7866175999,9.76580561729118,47320.27062461512,269378.90020115656,17.566435451803788,617,32.57698541329012
2024_2026,2010-01-01,2023-10-09,2024-01-01,2026-08-05,84,12.5,84,500.0,234751.3870712883,13.799351103543344,63002.872364416384,269378.90020115656,23.3881986738269,617,27.876823338735814
2024_2026,2010-01-01,2023-10-09,2024-01-01,2026-08-05,84,12.5,84,700.0,286467.0518965258,16.83934428688459,62275.38515895941,269378.90020115656,23.11813772810557,617,26.25607779578606
